Date,GSCPI
31-Jul-2010,-0.05042896900060816
31-Aug-2010,0.30688616121129986
30-Sep-2010,0.3718013086854648
31-Oct-2010,0.6770128622276993
30-Nov-2010,0.45389362561492
31-Dec-2010,0.7019326668783803
31-Jan-2011,0.7735216869311635
28-Feb-2011,0.36211681648201116
31-Mar-2011,0.7323670614885988
30-Apr-2011,1.6043864139058932
31-May-2011,0.93181313577731
30-Jun-2011,0.2009277719943755
31-Jul-2011,0.29120953722822185
31-Aug-2011,-0.091985180332239
30-Sep-2011,-0.5406749978829085
31-Oct-2011,-0.3649825823967395
30-Nov-2011,0.14666383030884234
31-Dec-2011,-0.034911239139808245
31-Jan-2012,0.3905461124918287
29-Feb-2012,0.025126882411531513
31-Mar-2012,-0.3525488978342146
30-Apr-2012,-0.3080655546359398
